symbol,isin,company,industry,nifty100,group,on_exit,as_of
NAUKRI,INE663F01032,Info Edge (India) Ltd.,Consumer Services,,,hold,2026-07-22
NESTLEIND,INE239A01024,Nestle India Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
NHPC,INE848E01016,NHPC Ltd.,Power,,,hold,2026-07-22
NMDC,INE584A01023,NMDC Ltd.,Metals & Mining,,,hold,2026-07-22
NTPC,INE733E01010,NTPC Ltd.,Power,,,hold,2026-07-22
NYKAA,INE388Y01029,FSN E-Commerce Ventures Ltd.,Consumer Services,,,hold,2026-07-22
OBEROIRLTY,INE093I01010,Oberoi Realty Ltd.,Realty,,,hold,2026-07-22
OFSS,INE881D01027,Oracle Financial Services Software Ltd.,Information Technology,,,hold,2026-07-22
OIL,INE274J01014,Oil India Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
ONGC,INE213A01029,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
PAGEIND,INE761H01022,Page Industries Ltd.,Textiles,,,hold,2026-07-22
PATANJALI,INE619A01035,Patanjali Foods Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
PAYTM,INE982J01020,One 97 Communications Ltd.,Financial Services,,,hold,2026-07-22
PERSISTENT,INE262H01021,Persistent Systems Ltd.,Information Technology,,,hold,2026-07-22
PFC,INE134E01011,Power Finance Corporation Ltd.,Financial Services,,,hold,2026-07-22
PHOENIXLTD,INE211B01039,Phoenix Mills Ltd.,Realty,,,hold,2026-07-22
PIDILITIND,INE318A01026,Pidilite Industries Ltd.,Chemicals,,,hold,2026-07-22
PIIND,INE603J01030,PI Industries Ltd.,Chemicals,,,hold,2026-07-22
PNB,INE160A01022,Punjab National Bank,Financial Services,,,hold,2026-07-22
POLICYBZR,INE417T01026,PB Fintech Ltd.,Financial Services,,,hold,2026-07-22
POLYCAB,INE455K01017,Polycab India Ltd.,Capital Goods,,,hold,2026-07-22
POWERGRID,INE752E01010,Power Grid Corporation of India Ltd.,Power,,,hold,2026-07-22
POWERINDIA,INE07Y701011,Hitachi Energy India Ltd.,Capital Goods,,,hold,2026-07-22
PREMIERENE,INE0BS701011,Premier Energies Ltd.,Capital Goods,,,hold,2026-07-22
PRESTIGE,INE811K01011,Prestige Estates Projects Ltd.,Realty,,,hold,2026-07-22
RADICO,INE944F01028,Radico Khaitan Ltd,Fast Moving Consumer Goods,,,hold,2026-07-22
RECLTD,INE020B01018,REC Ltd.,Financial Services,,,hold,2026-07-22
RELIANCE,INE002A01018,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
RVNL,INE415G01027,Rail Vikas Nigam Ltd.,Construction,,,hold,2026-07-22
SAIL,INE114A01011,Steel Authority of India Ltd.,Metals & Mining,,,hold,2026-07-22
SBICARD,INE018E01016,SBI Cards and Payment Services Ltd.,Financial Services,,,hold,2026-07-22
SBILIFE,INE123W01016,SBI Life Insurance Company Ltd.,Financial Services,,,hold,2026-07-22
SBIN,INE062A01020,State Bank of India,Financial Services,,,hold,2026-07-22
SHREECEM,INE070A01015,Shree Cement Ltd.,Construction Materials,,,hold,2026-07-22
SHRIRAMFIN,INE721A01047,Shriram Finance Ltd.,Financial Services,,,hold,2026-07-22
SIEMENS,INE003A01024,Siemens Ltd.,Capital Goods,,,hold,2026-07-22
SOLARINDS,INE343H01029,Solar Industries India Ltd.,Chemicals,,,hold,2026-07-22
SRF,INE647A01010,SRF Ltd.,Chemicals,,,hold,2026-07-22
SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Ltd.,Healthcare,,,hold,2026-07-22
SUPREMEIND,INE195A01028,Supreme Industries Ltd.,Capital Goods,,,hold,2026-07-22
SUZLON,INE040H01021,Suzlon Energy Ltd.,Capital Goods,,,hold,2026-07-22
SWIGGY,INE00H001014,Swiggy Ltd.,Consumer Services,,,hold,2026-07-22
TATACAP,INE976I01016,Tata Capital Ltd.,Financial Services,,,hold,2026-07-22
TATACOMM,INE151A01013,Tata Communications Ltd.,Telecommunication,,,hold,2026-07-22
TATACONSUM,INE192A01025,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
TATAELXSI,INE670A01012,Tata Elxsi Ltd.,Information Technology,,,hold,2026-07-22
TATAINVEST,INE672A01026,Tata Investment Corporation Ltd.,Financial Services,,,hold,2026-07-22
TATAPOWER,INE245A01021,Tata Power Co. Ltd.,Power,,,hold,2026-07-22
TATASTEEL,INE081A01020,Tata Steel Ltd.,Metals & Mining,,,hold,2026-07-22
TCS,INE467B01029,Tata Consultancy Services Ltd.,Information Technology,,,hold,2026-07-22
TECHM,INE669C01036,Tech Mahindra Ltd.,Information Technology,,,hold,2026-07-22
TIINDIA,INE974X01010,Tube Investments of India Ltd.,Automobile and Auto Components,,,hold,2026-07-22
TITAN,INE280A01028,Titan Company Ltd.,Consumer Durables,,,hold,2026-07-22
TMCV,INE1TAE01010,Tata Motors Ltd.,Capital Goods,,,hold,2026-07-22
TMPV,INE155A01022,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,,,hold,2026-07-22
TORNTPHARM,INE685A01028,Torrent Pharmaceuticals Ltd.,Healthcare,,,hold,2026-07-22
TRENT,INE849A01020,Trent Ltd.,Consumer Services,,,hold,2026-07-22
TVSMOTOR,INE494B01023,TVS Motor Company Ltd.,Automobile and Auto Components,,,hold,2026-07-22
ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.,Construction Materials,,,hold,2026-07-22
UNIONBANK,INE692A01016,Union Bank of India,Financial Services,,,hold,2026-07-22
UNITDSPR,INE854D01024,United Spirits Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
UPL,INE628A01036,UPL Ltd.,Chemicals,,,hold,2026-07-22
VBL,INE200M01039,Varun Beverages Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
VEDL,INE205A01025,Vedanta Ltd.,Metals & Mining,,,hold,2026-07-22
VMM,INE01EA01019,Vishal Mega Mart Ltd.,Consumer Services,,,hold,2026-07-22
VOLTAS,INE226A01021,Voltas Ltd.,Consumer Durables,,,hold,2026-07-22
WAAREEENER,INE377N01017,Waaree Energies Ltd.,Capital Goods,,,hold,2026-07-22
WIPRO,INE075A01022,Wipro Ltd.,Information Technology,,,hold,2026-07-22
YESBANK,INE528G01035,Yes Bank Ltd.,Financial Services,,,hold,2026-07-22
ZYDUSLIFE,INE010B01027,Zydus Lifesciences Ltd.,Healthcare,,,hold,2026-07-22
